Timestamp,Provider,Model,TokensUsed,Cost,Function
2025-10-21T02:07:11.000Z,openai,gpt-4o-mini,3284,0.004926,summarize
2025-10-21T02:07:20.455Z,gemini,gemini-2.5-flash,646,0.000000,translate
2025-10-21T02:07:28.100Z,openai,gpt-4o-mini,4081,0.006122,summarize
2025-10-21T02:07:38.965Z,gemini,gemini-2.5-flash,1034,0.000000,translate
2025-10-21T02:13:06.287Z,openai,gpt-4o-mini,3365,0.005047,summarize
2025-10-21T02:13:17.082Z,gemini,gemini-2.5-flash,838,0.000000,translate
2025-10-21T02:13:33.087Z,openai,gpt-4o-mini,4090,0.006135,summarize
2025-10-21T02:13:46.360Z,gemini,gemini-2.5-flash,1059,0.000000,translate
2025-10-21T02:13:51.505Z,openai,gpt-4o-mini,4193,0.006289,summarize
2025-10-21T02:14:03.158Z,gemini,gemini-2.5-flash,940,0.000000,translate
2025-10-21T02:14:09.822Z,openai,gpt-4o-mini,1453,0.002180,summarize
2025-10-21T02:14:23.268Z,gemini,gemini-2.5-flash,809,0.000000,translate
2025-10-21T02:14:30.109Z,openai,gpt-4o-mini,1751,0.002626,summarize
2025-10-21T02:14:41.925Z,gemini,gemini-2.5-flash,994,0.000000,translate
2025-10-21T02:39:20.025Z,openai,gpt-4o-mini,3376,0.005064,summarize
2025-10-21T02:39:35.175Z,gemini,gemini-2.5-flash,877,0.000000,translate
2025-10-21T02:39:42.350Z,openai,gpt-4o-mini,4049,0.006073,summarize
2025-10-21T02:40:00.546Z,gemini,gemini-2.5-flash,974,0.000000,translate
2025-10-21T02:40:07.133Z,openai,gpt-4o-mini,4234,0.006351,summarize
2025-10-21T02:40:30.211Z,gemini,gemini-2.5-flash,988,0.000000,translate
2025-10-21T02:40:36.170Z,openai,gpt-4o-mini,1465,0.002198,summarize
2025-10-21T02:40:50.497Z,gemini,gemini-2.5-flash,787,0.000000,translate
2025-10-21T02:40:58.637Z,openai,gpt-4o-mini,1780,0.002670,summarize
2025-10-21T02:41:13.919Z,gemini,gemini-2.5-flash,1035,0.000000,translate
2025-10-21T04:11:29.248Z,openai,gpt-4o-mini,2494,0.003741,synthesize
2025-10-21T04:11:56.186Z,openai,gpt-4o-mini,2525,0.003788,synthesize
2025-10-21T04:12:25.445Z,gemini,gemini-2.5-flash,1491,0.000000,translate
2025-10-21T04:12:34.155Z,gemini,gemini-2.5-flash,1467,0.000000,translate
2025-10-21T04:13:07.224Z,gemini,gemini-2.5-flash,1521,0.000000,translate
2025-10-21T04:13:28.995Z,gemini,gemini-2.5-flash,1515,0.000000,translate
2025-10-21T04:14:00.069Z,gemini,gemini-2.5-flash,1529,0.000000,translate
2025-10-21T04:15:06.942Z,openai,gpt-4o-mini,2469,0.003703,synthesize
2025-10-21T04:15:30.051Z,gemini,gemini-2.5-flash,1412,0.000000,translate
2025-10-21T04:15:50.993Z,gemini,gemini-2.5-flash,1404,0.000000,translate
2025-10-21T04:16:16.456Z,gemini,gemini-2.5-flash,1469,0.000000,translate
2025-10-21T04:16:46.477Z,gemini,gemini-2.5-flash,1442,0.000000,translate
2025-10-21T04:17:18.213Z,gemini,gemini-2.5-flash,1481,0.000000,translate
2025-10-21T04:19:49.554Z,openai,gpt-4o-mini,2475,0.003713,synthesize
2025-10-21T04:19:57.525Z,gemini,gemini-2.5-flash,1427,0.000000,translate
2025-10-21T04:20:19.016Z,gemini,gemini-2.5-flash,1408,0.000000,translate
2025-10-21T04:20:40.488Z,gemini,gemini-2.5-flash,1421,0.000000,translate
2025-10-21T04:21:05.579Z,gemini,gemini-2.5-flash,1444,0.000000,translate
2025-10-21T04:21:30.067Z,gemini,gemini-2.5-flash,1465,0.000000,translate
2025-10-21T04:28:21.733Z,gemini,gemini-2.5-pro,3457,0.000000,synthesize
2025-10-21T04:28:49.948Z,gemini,gemini-2.5-flash,1897,0.000000,translate
2025-10-21T04:29:23.199Z,gemini,gemini-2.5-flash,1849,0.000000,translate
2025-10-21T04:29:55.514Z,gemini,gemini-2.5-flash,1876,0.000000,translate
2025-10-21T04:30:05.196Z,gemini,gemini-2.5-flash,1899,0.000000,translate
2025-10-21T04:30:31.851Z,gemini,gemini-2.5-flash,1892,0.000000,translate
2025-10-21T04:31:44.616Z,gemini,gemini-2.5-pro,2107,0.000000,edit_professional
2025-10-21T04:32:24.812Z,gemini,gemini-2.5-pro,2065,0.000000,edit_professional
2025-10-21T04:32:59.447Z,gemini,gemini-2.5-pro,2066,0.000000,edit_professional
2025-10-21T05:02:40.738Z,gemini,gemini-2.5-pro,3280,0.000000,synthesize
2025-10-21T05:02:53.591Z,gemini,gemini-2.5-flash,1635,0.000000,translate
2025-10-21T05:03:16.574Z,gemini,gemini-2.5-pro,1077,0.000000,edit_simple
2025-10-21T05:03:18.661Z,gemini,gemini-2.5-flash,1623,0.000000,translate
2025-10-21T05:03:50.677Z,gemini,gemini-2.5-pro,1120,0.000000,edit_simple
2025-10-21T05:03:53.660Z,gemini,gemini-2.5-flash,1627,0.000000,translate
2025-10-21T05:04:09.770Z,gemini,gemini-2.5-flash,1648,0.000000,translate
2025-10-21T05:04:25.526Z,gemini,gemini-2.5-pro,1198,0.000000,edit_simple
2025-10-21T05:04:36.628Z,gemini,gemini-2.5-flash,1624,0.000000,translate
2025-10-21T05:04:54.655Z,gemini,gemini-2.5-pro,1133,0.000000,edit_simple
2025-10-21T05:23:18.545Z,gemini,gemini-2.5-pro,3069,0.000000,synthesize_sns_draft_v1
2025-10-21T05:23:35.952Z,gemini,gemini-2.5-flash,1316,0.000000,translate
2025-10-21T05:24:02.038Z,gemini,gemini-2.5-flash,1309,0.000000,translate
2025-10-21T05:24:11.431Z,gemini,gemini-2.5-flash,1372,0.000000,translate
2025-10-21T05:24:33.430Z,gemini,gemini-2.5-flash,1351,0.000000,translate
2025-10-21T05:25:09.042Z,gemini,gemini-2.5-flash,1384,0.000000,translate
2025-10-21T05:25:31.623Z,gemini,gemini-2.5-pro,6491,0.000000,synthesize_sns_draft_v1
2025-10-21T05:25:50.341Z,gemini,gemini-2.5-flash,1409,0.000000,translate
2025-10-21T05:26:07.521Z,gemini,gemini-2.5-flash,1410,0.000000,translate
2025-10-21T05:26:31.910Z,gemini,gemini-2.5-flash,1445,0.000000,translate
2025-10-21T05:26:39.469Z,gemini,gemini-2.5-flash,1463,0.000000,translate
2025-10-21T05:26:47.502Z,gemini,gemini-2.5-flash,1495,0.000000,translate
2025-10-21T05:32:09.618Z,gemini,gemini-2.5-pro,3089,0.000000,synthesize_sns_draft_v1
2025-10-21T05:32:39.907Z,gemini,gemini-2.5-flash,1332,0.000000,translate
2025-10-21T05:33:10.435Z,gemini,gemini-2.5-flash,1341,0.000000,translate
2025-10-21T05:33:38.453Z,gemini,gemini-2.5-flash,1391,0.000000,translate
2025-10-21T05:34:05.490Z,gemini,gemini-2.5-flash,1365,0.000000,translate
2025-10-21T05:34:31.244Z,gemini,gemini-2.5-flash,1392,0.000000,translate
2025-10-21T05:35:01.575Z,gemini,gemini-2.5-pro,6453,0.000000,synthesize_sns_draft_v1
2025-10-21T05:35:19.458Z,gemini,gemini-2.5-flash,1371,0.000000,translate
2025-10-21T05:35:47.826Z,gemini,gemini-2.5-flash,1376,0.000000,translate
2025-10-21T05:36:08.501Z,gemini,gemini-2.5-flash,1447,0.000000,translate
2025-10-21T05:36:29.612Z,gemini,gemini-2.5-flash,1414,0.000000,translate
2025-10-21T05:36:48.534Z,gemini,gemini-2.5-flash,1447,0.000000,translate
2025-10-21T05:37:07.677Z,gemini,gemini-2.5-pro,3059,0.000000,synthesize_sns_draft_v1
2025-10-21T05:37:24.845Z,gemini,gemini-2.5-flash,1270,0.000000,translate_fallback
2025-10-21T05:37:43.274Z,gemini,gemini-2.5-flash,1289,0.000000,translate_fallback
2025-10-21T05:38:05.977Z,gemini,gemini-2.5-flash,1357,0.000000,translate_fallback
2025-10-21T05:40:08.894Z,gemini,gemini-2.5-pro,3085,0.000000,synthesize_sns_draft_v1
2025-10-21T05:40:38.671Z,gemini,gemini-2.5-pro,1054,0.000000,edit_professional
2025-10-21T05:40:39.664Z,gemini,gemini-2.5-flash,1318,0.000000,translate_fallback
2025-10-21T05:41:05.147Z,gemini,gemini-2.5-flash,1313,0.000000,translate_fallback
2025-10-21T05:41:12.271Z,gemini,gemini-2.5-pro,1036,0.000000,edit_professional
2025-10-21T05:41:40.786Z,gemini,gemini-2.5-flash,1377,0.000000,translate_fallback
2025-10-21T05:41:47.067Z,gemini,gemini-2.5-pro,1073,0.000000,edit_professional
2025-10-21T05:42:09.150Z,gemini,gemini-2.5-flash,1362,0.000000,translate_fallback
2025-10-21T05:42:26.119Z,gemini,gemini-2.5-pro,1016,0.000000,edit_professional
2025-10-21T05:42:30.565Z,gemini,gemini-2.5-flash,1343,0.000000,translate_fallback
2025-10-21T05:44:59.257Z,gemini,gemini-2.5-pro,3143,0.000000,synthesize_sns_draft_v1
2025-10-21T05:49:40.314Z,gemini,gemini-2.5-pro,3127,0.000000,synthesize_sns_draft_v1
2025-10-21T05:55:53.855Z,gemini,gemini-2.5-pro,3075,0.000000,synthesize_sns_draft_v1
2025-10-21T05:56:21.069Z,gemini,gemini-2.5-flash,1333,0.000000,translate_fallback
2025-10-21T05:56:42.092Z,gemini,gemini-2.5-flash,1323,0.000000,translate_fallback
2025-10-21T05:57:15.230Z,gemini,gemini-2.5-flash,1370,0.000000,translate_fallback
2025-10-21T05:57:41.603Z,gemini,gemini-2.5-flash,1364,0.000000,translate_fallback
2025-10-21T05:58:07.335Z,gemini,gemini-2.5-flash,1375,0.000000,translate_fallback
2025-10-21T05:59:52.527Z,gemini,gemini-2.5-pro,1629,0.000000,edit_simple
2025-10-21T06:00:13.258Z,gemini,gemini-2.5-pro,1486,0.000000,edit_simple
2025-10-21T06:00:33.986Z,gemini,gemini-2.5-pro,1501,0.000000,edit_simple
2025-10-21T06:00:48.851Z,gemini,gemini-2.5-pro,1507,0.000000,edit_simple
2025-10-21T06:01:20.954Z,gemini,gemini-2.5-pro,939,0.000000,edit_simple
2025-10-21T06:01:44.978Z,gemini,gemini-2.5-pro,862,0.000000,edit_simple
2025-10-21T06:02:22.755Z,gemini,gemini-2.5-pro,935,0.000000,edit_simple
2025-10-21T06:02:51.131Z,gemini,gemini-2.5-pro,860,0.000000,edit_simple
2025-10-21T06:06:56.167Z,gemini,gemini-2.5-flash,3222,0.000000,synthesize_sns_draft_v1
2025-10-21T06:07:21.877Z,gemini,gemini-2.5-flash,1514,0.000000,translate_fallback
2025-10-21T06:07:44.623Z,gemini,gemini-2.5-flash,1530,0.000000,translate_fallback
2025-10-21T06:08:19.137Z,gemini,gemini-2.5-flash,1593,0.000000,translate_fallback
2025-10-21T06:09:04.107Z,gemini,gemini-2.5-flash,1557,0.000000,translate_fallback
2025-10-21T06:09:38.830Z,gemini,gemini-2.5-flash,1559,0.000000,translate_fallback
2025-10-21T06:13:47.029Z,gemini,gemini-2.5-flash,edit_professional,2256,N/A,0.000000
2025-10-21T06:14:09.818Z,gemini,gemini-2.5-flash,edit_professional,2385,N/A,0.000000
2025-10-21T06:14:35.852Z,gemini,gemini-2.5-flash,edit_professional,2386,N/A,0.000000
2025-10-21T06:14:58.149Z,gemini,gemini-2.5-flash,edit_professional,2437,N/A,0.000000
2025-10-21T06:15:42.313Z,gemini,gemini-2.5-flash,edit_professional,1193,N/A,0.000000
2025-10-21T06:16:32.428Z,gemini,gemini-2.5-flash,edit_professional,1146,N/A,0.000000
2025-10-21T06:17:06.293Z,gemini,gemini-2.5-flash,edit_professional,1208,N/A,0.000000
2025-10-21T06:17:39.684Z,gemini,gemini-2.5-flash,edit_professional,1160,N/A,0.000000
2025-10-21T06:25:26.460Z,gemini,gemini-2.5-flash,edit_professional,2292,N/A,0.000000
2025-10-21T06:26:02.413Z,gemini,gemini-2.5-flash,edit_professional,2233,N/A,0.000000
2025-10-21T06:26:21.877Z,gemini,gemini-2.5-flash,edit_professional,2273,N/A,0.000000
2025-10-21T06:26:55.771Z,gemini,gemini-2.5-flash,edit_professional,2377,N/A,0.000000
2025-10-21T06:27:30.694Z,gemini,gemini-2.5-flash,edit_professional,1202,N/A,0.000000
2025-10-21T06:28:04.801Z,gemini,gemini-2.5-flash,edit_professional,1203,N/A,0.000000
2025-10-21T06:28:38.745Z,gemini,gemini-2.5-flash,synthesize_sns_draft_v1,180,N/A,0.000000
2025-10-21T06:28:39.815Z,deepl,deepl-api,translate,N/A,126,N/A
2025-10-21T06:28:40.200Z,deepl,deepl-api,translate,N/A,126,N/A
2025-10-21T06:28:40.696Z,deepl,deepl-api,translate,N/A,132,N/A
2025-10-21T06:28:41.119Z,deepl,deepl-api,translate,N/A,238,N/A
2025-10-21T06:28:41.603Z,deepl,deepl-api,translate,N/A,132,N/A
2025-10-21T06:28:53.369Z,gemini,gemini-2.5-flash,edit_professional,1268,N/A,0.000000
2025-10-21T06:28:56.016Z,gemini,gemini-2.5-flash,edit_professional,238,N/A,0.000000
2025-10-21T06:28:58.898Z,gemini,gemini-2.5-flash,edit_professional,230,N/A,0.000000
2025-10-21T06:29:09.373Z,gemini,gemini-2.5-flash,edit_professional,253,N/A,0.000000
2025-10-21T06:29:15.956Z,gemini,gemini-2.5-flash,edit_professional,231,N/A,0.000000
2025-10-21T06:29:22.862Z,gemini,gemini-2.5-flash,edit_professional,197,N/A,0.000000
2025-10-21T06:29:27.339Z,gemini,gemini-2.5-flash,edit_professional,1219,N/A,0.000000
2025-10-21T06:29:29.445Z,gemini,gemini-2.5-flash,edit_professional,197,N/A,0.000000
2025-10-21T06:29:38.697Z,gemini,gemini-2.5-flash,edit_professional,211,N/A,0.000000
2025-10-21T06:29:49.753Z,gemini,gemini-2.5-flash,edit_professional,197,N/A,0.000000
2025-10-21T06:36:25.052Z,gemini,gemini-2.5-flash,humanize_friendly_korean_v1,N/A,N/A,N/A
2025-10-21T06:36:52.153Z,gemini,gemini-2.5-flash,humanize_friendly_korean_v1,N/A,N/A,N/A
2025-10-21T06:37:13.221Z,gemini,gemini-2.5-flash,humanize_friendly_korean_v1,N/A,N/A,N/A
2025-10-21T06:37:31.859Z,gemini,gemini-2.5-flash,humanize_friendly_korean_v1,N/A,N/A,N/A
2025-10-21T06:37:52.374Z,gemini,gemini-2.5-flash,humanize_friendly_korean_v1,N/A,N/A,N/A
2025-10-21T06:38:12.966Z,gemini,gemini-2.5-flash,humanize_friendly_korean_v1,N/A,N/A,N/A
2025-10-21T06:38:35.700Z,gemini,gemini-2.5-flash,humanize_friendly_korean_v1,N/A,N/A,N/A
2025-10-21T06:38:58.415Z,gemini,gemini-2.5-flash,humanize_friendly_korean_v1,N/A,N/A,N/A
2025-10-21T06:39:19.165Z,gemini,gemini-2.5-flash,humanize_friendly_korean_v1,N/A,N/A,N/A
2025-10-21T06:39:46.621Z,gemini,gemini-2.5-flash,humanize_friendly_korean_v1,N/A,N/A,N/A
2025-10-21T06:40:04.456Z,gemini,gemini-2.5-flash,humanize_friendly_korean_v1,N/A,N/A,N/A
2025-10-21T06:40:21.204Z,gemini,gemini-2.5-flash,humanize_friendly_korean_v1,N/A,N/A,N/A
2025-10-21T06:40:35.321Z,gemini,gemini-2.5-flash,humanize_friendly_korean_v1,N/A,N/A,N/A
2025-10-21T06:40:54.333Z,gemini,gemini-2.5-flash,humanize_friendly_korean_v1,N/A,N/A,N/A
2025-10-21T06:41:10.000Z,gemini,gemini-2.5-flash,humanize_friendly_korean_v1,N/A,N/A,N/A
2025-10-21T06:41:25.443Z,gemini,gemini-2.5-flash,humanize_friendly_korean_v1,N/A,N/A,N/A
2025-10-21T07:04:02.797Z,gemini,gemini-2.5-pro,synthesize_sns_draft_v1,3195,N/A,0.000000
2025-10-21T07:04:04.544Z,deepl,deepl-api,translate,N/A,3857,N/A
2025-10-21T07:13:40.528Z,openai,gpt-4o-mini,synthesize_sns_draft_v1,2494,N/A,0.003741
2025-10-21T07:13:42.485Z,deepl,deepl-api,translate,N/A,3792,N/A
2025-10-21T07:14:49.148Z,openai,gpt-4o-mini,synthesize_sns_draft_v1,2393,N/A,0.003589
